year,division,construction_permits
2000,East North Central,226235.0
2000,East South Central,79339.0
2000,Middle Atlantic,119766.0
2000,Mountain,189942.0
2000,New England,45335.0
2000,Pacific,211525.0
2000,South Atlantic,446217.0
2000,West North Central,97606.0
2000,West South Central,176302.0
2001,East North Central,231799.0
2001,East South Central,77669.0
2001,Middle Atlantic,115212.0
2001,Mountain,198835.0
2001,New England,44594.0
2001,Pacific,214135.0
2001,South Atlantic,463833.0
2001,West North Central,101845.0
2001,West South Central,188754.0
2002,East North Central,239989.0
2002,East South Central,83411.0
2002,Middle Atlantic,124704.0
2002,Mountain,200017.0
2002,New England,49031.0
2002,Pacific,230864.0
2002,South Atlantic,498432.0
2002,West North Central,112363.0
2002,West South Central,208867.0
2003,East North Central,249470.0
2003,East South Central,92200.0
2003,Middle Atlantic,130048.0
2003,Mountain,215887.0
2003,New England,52395.0
2003,Pacific,270603.0
2003,South Atlantic,527858.0
2003,West North Central,121532.0
2003,West South Central,229221.0
2004,East North Central,245394.0
2004,East South Central,109357.0
2004,Middle Atlantic,139098.0
2004,Mountain,244921.0
2004,New England,57858.0
2004,Pacific,296955.0
2004,South Atlantic,606668.0
2004,West North Central,125072.0
2004,West South Central,244754.0
2005,East North Central,233807.0
2005,East South Central,111782.0
2005,Middle Atlantic,145062.0
2005,Mountain,256827.0
2005,New England,58742.0
2005,Pacific,301745.0
2005,South Atlantic,657546.0
2005,West North Central,120089.0
2005,West South Central,269716.0
2006,East North Central,178813.0
2006,East South Central,111283.0
2006,Middle Atlantic,127833.0
2006,Mountain,207751.0
2006,New England,46782.0
2006,Pacific,247427.0
2006,South Atlantic,543413.0
2006,West North Central,100563.0
2006,West South Central,275038.0
2007,East North Central,133560.0
2007,East South Central,94974.0
2007,Middle Atlantic,113113.0
2007,Mountain,156616.0
2007,New England,37532.0
2007,Pacific,187249.0
2007,South Atlantic,371064.0
2007,West North Central,78175.0
2007,West South Central,226132.0
2008,East North Central,83245.0
2008,East South Central,61775.0
2008,Middle Atlantic,94577.0
2008,Mountain,88451.0
2008,New England,24454.0
2008,Pacific,108292.0
2008,South Atlantic,224938.0
2008,West North Central,54487.0
2008,West South Central,165140.0
2009,East North Central,54421.0
2009,East South Central,42664.0
2009,Middle Atlantic,49040.0
2009,Mountain,54060.0
2009,New England,19463.0
2009,Pacific,62652.0
2009,South Atlantic,141978.0
2009,West North Central,45923.0
2009,West South Central,112762.0
2010,East North Central,59050.0
2010,East South Central,40981.0
2010,Middle Atlantic,52843.0
2010,Mountain,52581.0
2010,New England,20964.0
2010,Pacific,75621.0
2010,South Atlantic,142983.0
2010,West North Central,44466.0
2010,West South Central,115121.0
2011,East North Central,57469.0
2011,East South Central,39699.0
2011,Middle Atlantic,50494.0
2011,Mountain,54565.0
2011,New England,17987.0
2011,Pacific,77618.0
2011,South Atlantic,155763.0
2011,West North Central,45261.0
2011,West South Central,125205.0
2012,East North Central,68216.0
2012,East South Central,49417.0
2012,Middle Atlantic,61607.0
2012,Mountain,82888.0
2012,New England,23109.0
2012,Pacific,101262.0
2012,South Atlantic,209687.0
2012,West North Central,64779.0
2012,West South Central,168693.0
2013,East North Central,83024.0
2013,East South Central,51333.0
2013,Middle Atlantic,78440.0
2013,Mountain,100143.0
2013,New England,28635.0
2013,Pacific,133508.0
2013,South Atlantic,259460.0
2013,West North Central,73740.0
2013,West South Central,182539.0
2014,East North Central,88957.0
2014,East South Central,58146.0
2014,Middle Atlantic,89543.0
2014,Mountain,105659.0
2014,New England,28949.0
2014,Pacific,138664.0
2014,South Atlantic,258315.0
2014,West North Central,76218.0
2014,West South Central,207673.0
2015,East North Central,93120.0
2015,East South Central,63684.0
2015,Middle Atlantic,128025.0
2015,Mountain,114443.0
2015,New England,33959.0
2015,Pacific,162792.0
2015,South Atlantic,299777.0
2015,West North Central,77464.0
2015,West South Central,209318.0
2016,East North Central,103814.0
2016,East South Central,70758.0
2016,Middle Atlantic,83807.0
2016,Mountain,138702.0
2016,New England,32595.0
2016,Pacific,170885.0
2016,South Atlantic,321844.0
2016,West North Central,82315.0
2016,West South Central,201922.0
2017,East North Central,113741.0
2017,East South Central,72822.0
2017,Middle Atlantic,90435.0
2017,Mountain,150150.0
2017,New England,33160.0
2017,Pacific,186201.0
2017,South Atlantic,341868.0
2017,West North Central,81377.0
2017,West South Central,212223.0
2018,East North Central,105904.0
2018,East South Central,72702.0
2018,Middle Atlantic,89045.0
2018,Mountain,155058.0
2018,New England,34375.0
2018,Pacific,187716.0
2018,South Atlantic,375049.0
2018,West North Central,79584.0
2018,West South Central,229394.0
2019,East North Central,103960.0
2019,East South Central,77872.0
2019,Middle Atlantic,105263.0
2019,Mountain,163355.0
2019,New England,35923.0
2019,Pacific,186431.0
2019,South Atlantic,381869.0
2019,West North Central,80812.0
2019,West South Central,250563.0
2020,East North Central,113624.0
2020,East South Central,88792.0
2020,Middle Atlantic,99182.0
2020,Mountain,184759.0
2020,New England,35571.0
2020,Pacific,173205.0
2020,South Atlantic,413539.0
2020,West North Central,88457.0
2020,West South Central,274012.0
2021,East North Central,127112.0
2021,East South Central,102413.0
2021,Middle Atlantic,125123.0
2021,Mountain,223785.0
2021,New England,39637.0
2021,Pacific,203304.0
2021,South Atlantic,501087.0
2021,West North Central,100488.0
2021,West South Central,314033.0
2022,East North Central,122489.0
2022,East South Central,94782.0
2022,Middle Atlantic,118415.0
2022,Mountain,198456.0
2022,New England,38408.0
2022,Pacific,195012.0
2022,South Atlantic,507748.0
2022,West North Central,98267.0
2022,West South Central,306791.0
2023,East North Central,113322.0
2023,East South Central,90915.0
2023,Middle Atlantic,106967.0
2023,Mountain,174067.0
2023,New England,33849.0
2023,Pacific,171282.0
2023,South Atlantic,466084.0
2023,West North Central,81749.0
2023,West South Central,272867.0
2024,East North Central,123946.0
2024,East South Central,89735.0
2024,Middle Atlantic,106291.0
2024,Mountain,168401.0
2024,New England,35674.0
2024,Pacific,158855.0
2024,South Atlantic,447880.0
2024,West North Central,79799.0
2024,West South Central,267419.0
