division,date,zhvi,hpi,unemployment_rate
East North Central,2000-01-01,94496.391374913,149.53,4.0
East North Central,2000-01-01,94496.391374913,149.87,4.0
East North Central,2000-02-01,94555.20369864893,149.15,4.1
East North Central,2000-02-01,94555.20369864893,149.2,4.1
East North Central,2000-03-01,94468.425452749,151.12,4.0
East North Central,2000-03-01,94468.425452749,150.57,4.0
East North Central,2000-04-01,94745.17810186435,152.18,3.8
East North Central,2000-04-01,94745.17810186435,151.18,3.8
East North Central,2000-05-01,95138.89299334066,153.35,4.0
East North Central,2000-05-01,95138.89299334066,151.55,4.0
East North Central,2000-06-01,95581.1407286154,154.71,4.0
East North Central,2000-06-01,95581.1407286154,152.58,4.0
East North Central,2000-07-01,97072.20389546674,155.48,4.0
East North Central,2000-07-01,97072.20389546674,153.27,4.0
East North Central,2000-08-01,97540.56503818072,155.72,4.1
East North Central,2000-08-01,97540.56503818072,153.74,4.1
East North Central,2000-09-01,98162.52350250968,155.86,3.9
East North Central,2000-09-01,98162.52350250968,154.15,3.9
East North Central,2000-10-01,98674.50982263108,155.94,3.9
East North Central,2000-10-01,98674.50982263108,154.58,3.9
East North Central,2000-11-01,99213.6862763825,155.82,3.9
East North Central,2000-11-01,99213.6862763825,155.12,3.9
East North Central,2000-12-01,99728.0492566795,156.19,3.9
East North Central,2000-12-01,99728.0492566795,156.09,3.9
East North Central,2001-01-01,100238.76899197428,156.35,4.2
East North Central,2001-01-01,100238.76899197428,156.71,4.2
East North Central,2001-02-01,100656.96105588699,157.3,4.2
East North Central,2001-02-01,100656.96105588699,157.44,4.2
East North Central,2001-03-01,101029.87268933888,158.42,4.3
East North Central,2001-03-01,101029.87268933888,157.89,4.3
East North Central,2001-04-01,101214.60033445182,159.69,4.4
East North Central,2001-04-01,101214.60033445182,158.63,4.4
East North Central,2001-05-01,101597.71697424955,161.01,4.3
East North Central,2001-05-01,101597.71697424955,159.11,4.3
East North Central,2001-06-01,103017.77769971678,161.79,4.5
East North Central,2001-06-01,103017.77769971678,159.52,4.5
East North Central,2001-07-01,103441.6082793007,162.49,4.6
East North Central,2001-07-01,103441.6082793007,160.12,4.6
East North Central,2001-08-01,103863.38565780903,162.8,4.9
East North Central,2001-08-01,103863.38565780903,160.64,4.9
East North Central,2001-09-01,104308.68293250636,163.11,5.0
East North Central,2001-09-01,104308.68293250636,161.27,5.0
East North Central,2001-10-01,104897.53382177616,163.79,5.3
East North Central,2001-10-01,104897.53382177616,162.32,5.3
East North Central,2001-11-01,105283.57704433499,163.27,5.5
East North Central,2001-11-01,105283.57704433499,162.54,5.5
East North Central,2001-12-01,105620.03562919456,163.19,5.7
East North Central,2001-12-01,105620.03562919456,163.12,5.7
East North Central,2002-01-01,105545.56264934951,163.51,5.7
East North Central,2002-01-01,105545.56264934951,163.96,5.7
East North Central,2002-02-01,105755.03649344738,164.05,5.7
East North Central,2002-02-01,105755.03649344738,164.32,5.7
East North Central,2002-03-01,105968.85478872182,165.51,5.7
East North Central,2002-03-01,105968.85478872182,165.04,5.7
East North Central,2002-04-01,106078.47862184925,166.4,5.9
East North Central,2002-04-01,106078.47862184925,165.28,5.9
East North Central,2002-05-01,106832.35753526687,168.0,5.8
East North Central,2002-05-01,106832.35753526687,165.96,5.8
East North Central,2002-06-01,107152.42990726704,169.2,5.8
East North Central,2002-06-01,107152.42990726704,166.77,5.8
East North Central,2002-07-01,107494.28528335188,169.68,5.8
East North Central,2002-07-01,107494.28528335188,167.14,5.8
East North Central,2002-08-01,107853.4622866692,170.02,5.7
East North Central,2002-08-01,107853.4622866692,167.67,5.7
East North Central,2002-09-01,108636.29166072216,170.5,5.7
East North Central,2002-09-01,108636.29166072216,168.52,5.7
East North Central,2002-10-01,108998.08921562489,170.58,5.7
East North Central,2002-10-01,108998.08921562489,168.99,5.7
East North Central,2002-11-01,108877.20641450607,170.93,5.9
East North Central,2002-11-01,108877.20641450607,170.18,5.9
East North Central,2002-12-01,109185.98713604646,170.35,6.0
East North Central,2002-12-01,109185.98713604646,170.32,6.0
East North Central,2003-01-01,109270.57263149388,170.87,5.8
East North Central,2003-01-01,109270.57263149388,171.48,5.8
East North Central,2003-02-01,109478.4034896011,171.42,5.9
East North Central,2003-02-01,109478.4034896011,171.85,5.9
East North Central,2003-03-01,109678.10722965824,172.52,5.9
East North Central,2003-03-01,109678.10722965824,172.13,5.9
East North Central,2003-04-01,109932.93998703256,173.96,6.0
East North Central,2003-04-01,109932.93998703256,172.75,6.0
East North Central,2003-05-01,110274.1554794063,175.78,6.1
East North Central,2003-05-01,110274.1554794063,173.53,6.1
East North Central,2003-06-01,110520.46504193521,176.51,6.3
East North Central,2003-06-01,110520.46504193521,173.88,6.3
East North Central,2003-07-01,110892.46548904313,177.49,6.2
East North Central,2003-07-01,110892.46548904313,174.74,6.2
East North Central,2003-08-01,111617.20067737503,178.07,6.1
East North Central,2003-08-01,111617.20067737503,175.49,6.1
East North Central,2003-09-01,111983.30652812174,178.05,6.1
East North Central,2003-09-01,111983.30652812174,175.93,6.1
East North Central,2003-10-01,112044.96965925858,178.59,6.0
East North Central,2003-10-01,112044.96965925858,176.91,6.0
East North Central,2003-11-01,112727.74137177123,178.55,5.8
East North Central,2003-11-01,112727.74137177123,177.82,5.8
East North Central,2003-12-01,113134.91070756261,178.57,5.7
East North Central,2003-12-01,113134.91070756261,178.63,5.7
East North Central,2004-01-01,113436.81955428833,177.51,5.7
East North Central,2004-01-01,113436.81955428833,178.33,5.7
East North Central,2004-02-01,113771.40400464942,179.33,5.6
East North Central,2004-02-01,113771.40400464942,179.95,5.6
East North Central,2004-03-01,114106.04503800297,180.44,5.8
East North Central,2004-03-01,114106.04503800297,180.17,5.8
East North Central,2004-04-01,114467.0432020189,182.01,5.6
East North Central,2004-04-01,114467.0432020189,180.7,5.6
East North Central,2004-05-01,114914.3975478451,183.93,5.6
East North Central,2004-05-01,114914.3975478451,181.38,5.6
East North Central,2004-06-01,115421.59234550137,185.13,5.6
East North Central,2004-06-01,115421.59234550137,182.2,5.6
East North Central,2004-07-01,116177.75182040886,185.84,5.5
East North Central,2004-07-01,116177.75182040886,182.84,5.5
East North Central,2004-08-01,116910.45842870827,186.35,5.4
East North Central,2004-08-01,116910.45842870827,183.49,5.4
East North Central,2004-09-01,117129.65963549455,185.95,5.4
East North Central,2004-09-01,117129.65963549455,183.69,5.4
East North Central,2004-10-01,117770.68801392407,186.31,5.5
East North Central,2004-10-01,117770.68801392407,184.58,5.5
East North Central,2004-11-01,117768.04584996919,186.09,5.4
East North Central,2004-11-01,117768.04584996919,185.42,5.4
East North Central,2004-12-01,118179.81807515021,185.63,5.4
East North Central,2004-12-01,118179.81807515021,185.85,5.4
East North Central,2005-01-01,118627.52717490155,185.65,5.3
East North Central,2005-01-01,118627.52717490155,186.74,5.3
East North Central,2005-02-01,119303.3543626703,185.31,5.4
East North Central,2005-02-01,119303.3543626703,186.08,5.4
East North Central,2005-03-01,119384.36491792082,187.72,5.2
East North Central,2005-03-01,119384.36491792082,187.54,5.2
East North Central,2005-04-01,120071.86557811436,189.65,5.2
East North Central,2005-04-01,120071.86557811436,188.28,5.2
East North Central,2005-05-01,120529.51807139115,191.32,5.1
East North Central,2005-05-01,120529.51807139115,188.48,5.1
East North Central,2005-06-01,119846.28964603573,192.15,5.0
East North Central,2005-06-01,119846.28964603573,188.85,5.0
East North Central,2005-07-01,120641.4088608237,192.6,5.0
East North Central,2005-07-01,120641.4088608237,189.33,5.0
East North Central,2005-08-01,121473.07358404581,192.74,4.9
East North Central,2005-08-01,121473.07358404581,189.57,4.9
East North Central,2005-09-01,121715.75421933908,193.36,5.0
East North Central,2005-09-01,121715.75421933908,191.01,5.0
East North Central,2005-10-01,122071.1337732481,193.11,5.0
East North Central,2005-10-01,122071.1337732481,191.4,5.0
East North Central,2005-11-01,122420.61704001663,192.05,5.0
East North Central,2005-11-01,122420.61704001663,191.46,5.0
East North Central,2005-12-01,122694.72250233853,190.98,4.9
East North Central,2005-12-01,122694.72250233853,191.41,4.9
East North Central,2006-01-01,123068.56598607845,190.55,4.7
East North Central,2006-01-01,123068.56598607845,191.91,4.7
East North Central,2006-02-01,122709.94476955419,190.99,4.8
East North Central,2006-02-01,122709.94476955419,191.91,4.8
East North Central,2006-03-01,122841.17659976726,192.12,4.7
East North Central,2006-03-01,122841.17659976726,192.03,4.7
East North Central,2006-04-01,122961.56256583858,194.29,4.7
East North Central,2006-04-01,122961.56256583858,192.93,4.7
East North Central,2006-05-01,123057.76653872013,195.61,4.6
East North Central,2006-05-01,123057.76653872013,192.44,4.6
East North Central,2006-06-01,123100.2586906337,195.48,4.6
East North Central,2006-06-01,123100.2586906337,191.84,4.6
East North Central,2006-07-01,123028.27360163743,195.5,4.7
East North Central,2006-07-01,123028.27360163743,192.01,4.7
East North Central,2006-08-01,123269.7125552546,194.92,4.7
East North Central,2006-08-01,123269.7125552546,191.53,4.7
East North Central,2006-09-01,123265.02022566598,194.05,4.5
East North Central,2006-09-01,123265.02022566598,191.63,4.5
East North Central,2006-10-01,123303.50838347735,192.82,4.4
East North Central,2006-10-01,123303.50838347735,191.18,4.4
East North Central,2006-11-01,123325.74631956163,191.12,4.5
East North Central,2006-11-01,123325.74631956163,190.52,4.5
East North Central,2006-12-01,123326.86587873835,190.69,4.4
East North Central,2006-12-01,123326.86587873835,191.34,4.4
East North Central,2007-01-01,123306.10080631531,190.64,4.6
East North Central,2007-01-01,123306.10080631531,192.24,4.6
East North Central,2007-02-01,123317.4047931785,190.37,4.5
East North Central,2007-02-01,123317.4047931785,191.48,4.5
East North Central,2007-03-01,123300.56386995947,191.39,4.4
East North Central,2007-03-01,123300.56386995947,191.51,4.4
East North Central,2007-04-01,123290.93941796508,191.96,4.5
East North Central,2007-04-01,123290.93941796508,190.72,4.5
East North Central,2007-05-01,123118.61605103502,193.18,4.4
East North Central,2007-05-01,123118.61605103502,189.77,4.4
East North Central,2007-06-01,123010.48783330373,193.35,4.6
East North Central,2007-06-01,123010.48783330373,189.48,4.6
East North Central,2007-07-01,122765.21650455968,191.78,4.7
East North Central,2007-07-01,122765.21650455968,188.16,4.7
East North Central,2007-08-01,122426.22769171248,191.13,4.6
East North Central,2007-08-01,122426.22769171248,187.57,4.6
East North Central,2007-09-01,122199.96672026801,188.6,4.7
East North Central,2007-09-01,122199.96672026801,186.16,4.7
East North Central,2007-10-01,122031.15279334712,186.46,4.7
East North Central,2007-10-01,122031.15279334712,184.87,4.7
East North Central,2007-11-01,121903.25567309359,184.71,4.7
East North Central,2007-11-01,121903.25567309359,183.92,4.7
East North Central,2007-12-01,121691.49139031366,182.14,5.0
East North Central,2007-12-01,121691.49139031366,182.92,5.0
East North Central,2008-01-01,121481.7504931681,179.94,5.0
East North Central,2008-01-01,121481.7504931681,181.66,5.0
East North Central,2008-02-01,120731.28774394625,180.11,4.9
East North Central,2008-02-01,120731.28774394625,181.42,4.9
East North Central,2008-03-01,121001.18690075615,179.86,5.1
East North Central,2008-03-01,121001.18690075615,180.34,5.1
East North Central,2008-04-01,120947.84990907335,179.52,5.0
East North Central,2008-04-01,120947.84990907335,178.51,5.0
East North Central,2008-05-01,120470.11210438448,180.35,5.4
East North Central,2008-05-01,120470.11210438448,176.97,5.4
East North Central,2008-06-01,119045.67629557799,180.39,5.6
East North Central,2008-06-01,119045.67629557799,176.53,5.6
East North Central,2008-07-01,118547.34171818175,178.89,5.8
East North Central,2008-07-01,118547.34171818175,175.24,5.8
East North Central,2008-08-01,118692.45318003162,177.87,6.1
East North Central,2008-08-01,118692.45318003162,174.34,6.1
East North Central,2008-09-01,118483.23838772466,173.95,6.1
East North Central,2008-09-01,118483.23838772466,171.57,6.1
East North Central,2008-10-01,117798.11161803632,172.76,6.5
East North Central,2008-10-01,117798.11161803632,171.26,6.5
East North Central,2008-11-01,117516.87035547073,169.16,6.8
East North Central,2008-11-01,117516.87035547073,168.08,6.8
East North Central,2008-12-01,116953.62394621261,167.59,7.3
East North Central,2008-12-01,116953.62394621261,168.42,7.3
East North Central,2009-01-01,116856.6237652527,169.74,7.8
East North Central,2009-01-01,116856.6237652527,171.7,7.8
East North Central,2009-02-01,115266.23491843154,169.06,8.3
East North Central,2009-02-01,115266.23491843154,170.62,8.3
East North Central,2009-03-01,114080.65413413997,168.21,8.7
East North Central,2009-03-01,114080.65413413997,169.08,8.7
East North Central,2009-04-01,113479.79624043731,168.4,9.0
East North Central,2009-04-01,113479.79624043731,167.61,9.0
East North Central,2009-05-01,113029.103329663,172.27,9.4
East North Central,2009-05-01,113029.103329663,168.89,9.4
East North Central,2009-06-01,112578.3049860041,171.47,9.5
East North Central,2009-06-01,112578.3049860041,167.53,9.5
East North Central,2009-07-01,112100.1761014775,170.22,9.5
East North Central,2009-07-01,112100.1761014775,166.41,9.5
East North Central,2009-08-01,111583.3923696839,169.74,9.6
East North Central,2009-08-01,111583.3923696839,166.12,9.6
East North Central,2009-09-01,111097.29188857885,168.98,9.8
East North Central,2009-09-01,111097.29188857885,166.52,9.8
East North Central,2009-10-01,110637.87771966173,167.31,10.0
East North Central,2009-10-01,110637.87771966173,165.77,10.0
East North Central,2009-11-01,110258.82918084628,168.17,9.9
East North Central,2009-11-01,110258.82918084628,166.78,9.9
East North Central,2009-12-01,110119.5738079129,163.97,9.9
East North Central,2009-12-01,110119.5738079129,164.89,9.9
East North Central,2010-01-01,109664.83576559635,162.37,9.8
East North Central,2010-01-01,109664.83576559635,164.6,9.8
East North Central,2010-02-01,109446.8534388063,161.93,9.8
East North Central,2010-02-01,109446.8534388063,163.82,9.8
East North Central,2010-03-01,109045.63997058732,162.89,9.9
East North Central,2010-03-01,109045.63997058732,164.04,9.9
East North Central,2010-04-01,109178.30343439356,164.61,9.9
East North Central,2010-04-01,109178.30343439356,163.92,9.9
East North Central,2010-05-01,108741.8000139584,167.66,9.6
East North Central,2010-05-01,108741.8000139584,164.26,9.6
East North Central,2010-06-01,108770.93308863053,166.47,9.4
East North Central,2010-06-01,108770.93308863053,162.34,9.4
East North Central,2010-07-01,108722.95308704127,165.52,9.4
East North Central,2010-07-01,108722.95308704127,161.38,9.4
East North Central,2010-08-01,108551.02797785142,165.64,9.5
East North Central,2010-08-01,108551.02797785142,161.85,9.5
East North Central,2010-09-01,108093.83396615484,162.79,9.5
East North Central,2010-09-01,108093.83396615484,160.12,9.5
East North Central,2010-10-01,107726.74316543003,163.95,9.4
East North Central,2010-10-01,107726.74316543003,162.37,9.4
East North Central,2010-11-01,107293.23411653182,162.73,9.8
East North Central,2010-11-01,107293.23411653182,161.2,9.8
East North Central,2010-12-01,106806.22716220512,158.04,9.3
East North Central,2010-12-01,106806.22716220512,159.03,9.3
East North Central,2011-01-01,106313.32992094076,156.27,9.1
East North Central,2011-01-01,106313.32992094076,158.74,9.1
East North Central,2011-02-01,105827.55036905775,155.0,9.0
East North Central,2011-02-01,105827.55036905775,157.21,9.0
East North Central,2011-03-01,105388.94670250446,152.64,9.0
East North Central,2011-03-01,105388.94670250446,153.95,9.0
East North Central,2011-04-01,104795.88221128838,155.22,9.1
East North Central,2011-04-01,104795.88221128838,154.54,9.1
East North Central,2011-05-01,104466.26570523561,158.45,9.0
East North Central,2011-05-01,104466.26570523561,155.19,9.0
East North Central,2011-06-01,104233.58720354055,160.31,9.1
East North Central,2011-06-01,104233.58720354055,156.1,9.1
East North Central,2011-07-01,104129.27293672024,161.79,9.0
East North Central,2011-07-01,104129.27293672024,157.4,9.0
East North Central,2011-08-01,104009.89200392779,159.39,9.0
East North Central,2011-08-01,104009.89200392779,155.54,9.0
East North Central,2011-09-01,103863.67667214738,159.07,9.0
East North Central,2011-09-01,103863.67667214738,156.31,9.0
East North Central,2011-10-01,103683.8686471224,156.79,8.8
East North Central,2011-10-01,103683.8686471224,155.26,8.8
East North Central,2011-11-01,103455.40470408584,158.52,8.6
East North Central,2011-11-01,103455.40470408584,157.07,8.6
East North Central,2011-12-01,103250.8166753349,155.47,8.5
East North Central,2011-12-01,103250.8166753349,156.57,8.5
East North Central,2012-01-01,102661.21683892322,153.06,8.3
East North Central,2012-01-01,102661.21683892322,155.73,8.3
East North Central,2012-02-01,102844.80977351953,153.37,8.3
East North Central,2012-02-01,102844.80977351953,155.82,8.3
East North Central,2012-03-01,103003.82512518569,155.36,8.2
East North Central,2012-03-01,103003.82512518569,156.7,8.2
East North Central,2012-04-01,103108.72281984215,158.47,8.2
East North Central,2012-04-01,103108.72281984215,157.59,8.2
East North Central,2012-05-01,103414.29131889944,162.07,8.2
East North Central,2012-05-01,103414.29131889944,158.73,8.2
East North Central,2012-06-01,103725.90635006892,163.45,8.2
East North Central,2012-06-01,103725.90635006892,158.88,8.2
East North Central,2012-07-01,104071.91269900485,163.56,8.2
East North Central,2012-07-01,104071.91269900485,158.8,8.2
East North Central,2012-08-01,104376.93032987778,163.82,8.1
East North Central,2012-08-01,104376.93032987778,159.75,8.1
East North Central,2012-09-01,104887.13009839534,162.97,7.8
East North Central,2012-09-01,104887.13009839534,160.03,7.8
East North Central,2012-10-01,105244.27855686977,162.1,7.8
East North Central,2012-10-01,105244.27855686977,160.63,7.8
East North Central,2012-11-01,105382.72116516922,161.26,7.7
East North Central,2012-11-01,105382.72116516922,159.98,7.7
East North Central,2012-12-01,105481.56199204062,159.32,7.9
East North Central,2012-12-01,105481.56199204062,160.55,7.9
East North Central,2013-01-01,105550.79982761553,159.18,8.0
East North Central,2013-01-01,105550.79982761553,162.16,8.0
East North Central,2013-02-01,105706.51250441329,160.06,7.7
East North Central,2013-02-01,105706.51250441329,162.76,7.7
East North Central,2013-03-01,106018.90608930895,162.96,7.5
East North Central,2013-03-01,106018.90608930895,164.15,7.5
East North Central,2013-04-01,106378.55438667357,166.23,7.6
East North Central,2013-04-01,106378.55438667357,165.08,7.6
East North Central,2013-05-01,106875.00791703496,169.18,7.5
East North Central,2013-05-01,106875.00791703496,165.71,7.5
East North Central,2013-06-01,107324.65397183086,171.63,7.5
East North Central,2013-06-01,107324.65397183086,166.59,7.5
East North Central,2013-07-01,107660.96023269693,172.88,7.3
East North Central,2013-07-01,107660.96023269693,167.73,7.3
East North Central,2013-08-01,108278.42950139589,172.3,7.2
East North Central,2013-08-01,108278.42950139589,167.97,7.2
East North Central,2013-09-01,108839.21534450444,171.52,7.2
East North Central,2013-09-01,108839.21534450444,168.45,7.2
East North Central,2013-10-01,109391.18355231486,170.03,7.2
East North Central,2013-10-01,109391.18355231486,168.58,7.2
East North Central,2013-11-01,109545.27813518887,169.44,6.9
East North Central,2013-11-01,109545.27813518887,168.47,6.9
East North Central,2013-12-01,109615.04995420766,168.72,6.7
East North Central,2013-12-01,109615.04995420766,170.12,6.7
East North Central,2014-01-01,109558.3806501531,167.39,6.6
East North Central,2014-01-01,109558.3806501531,170.59,6.6
East North Central,2014-02-01,109785.12917814542,167.88,6.7
East North Central,2014-02-01,109785.12917814542,170.64,6.7
East North Central,2014-03-01,109972.20428885496,170.33,6.7
East North Central,2014-03-01,109972.20428885496,171.19,6.7
East North Central,2014-04-01,110317.5471722857,173.57,6.2
East North Central,2014-04-01,110317.5471722857,172.12,6.2
East North Central,2014-05-01,110770.98797701922,175.46,6.3
East North Central,2014-05-01,110770.98797701922,171.83,6.3
East North Central,2014-06-01,111377.98130930585,177.78,6.1
East North Central,2014-06-01,111377.98130930585,172.43,6.1
East North Central,2014-07-01,112036.28256105808,178.89,6.2
East North Central,2014-07-01,112036.28256105808,173.59,6.2
East North Central,2014-08-01,112571.84449051824,178.79,6.1
East North Central,2014-08-01,112571.84449051824,174.41,6.1
East North Central,2014-09-01,112879.38160378285,177.69,5.9
East North Central,2014-09-01,112879.38160378285,174.56,5.9
East North Central,2014-10-01,112821.00783470109,177.13,5.7
East North Central,2014-10-01,112821.00783470109,175.76,5.7
East North Central,2014-11-01,112762.0934065586,175.82,5.8
East North Central,2014-11-01,112762.0934065586,175.19,5.8
East North Central,2014-12-01,112850.18989465966,175.43,5.6
East North Central,2014-12-01,112850.18989465966,176.9,5.6
East North Central,2015-01-01,113056.52829949537,173.07,5.7
East North Central,2015-01-01,113056.52829949537,176.31,5.7
East North Central,2015-02-01,113194.15851182395,175.27,5.5
East North Central,2015-02-01,113194.15851182395,177.97,5.5
East North Central,2015-03-01,113431.37626867484,177.56,5.4
East North Central,2015-03-01,113431.37626867484,178.03,5.4
East North Central,2015-04-01,113864.05368427529,180.36,5.4
East North Central,2015-04-01,113864.05368427529,178.61,5.4
East North Central,2015-05-01,114503.1996138295,183.59,5.6
East North Central,2015-05-01,114503.1996138295,179.79,5.6
East North Central,2015-06-01,115094.56140802498,186.37,5.3
East North Central,2015-06-01,115094.56140802498,180.79,5.3
East North Central,2015-07-01,115628.43548464705,185.52,5.2
East North Central,2015-07-01,115628.43548464705,180.23,5.2
East North Central,2015-08-01,116169.56874797678,184.21,5.1
East North Central,2015-08-01,116169.56874797678,179.86,5.1
East North Central,2015-09-01,116686.51921973987,184.59,5.0
East North Central,2015-09-01,116686.51921973987,181.53,5.0
