division,date,zhvi,hpi,unemployment_rate,total_population,median_income,bachelors_pct
East North Central,2010-01-01,109664.83576559636,162.37,9.8,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-01-01,109664.83576559636,164.6,9.8,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-02-01,109446.8534388063,161.93,9.8,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-02-01,109446.8534388063,163.82,9.8,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-03-01,109045.63997058732,162.89,9.9,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-03-01,109045.63997058732,164.04,9.9,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-04-01,109178.30343439356,164.61,9.9,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-04-01,109178.30343439356,163.92,9.9,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-05-01,108741.8000139584,167.66,9.6,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-05-01,108741.8000139584,164.26,9.6,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-06-01,108770.93308863053,166.47,9.4,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-06-01,108770.93308863053,162.34,9.4,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-07-01,108722.95308704129,165.52,9.4,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-07-01,108722.95308704129,161.38,9.4,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-08-01,108551.02797785142,165.64,9.5,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-08-01,108551.02797785142,161.85,9.5,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-09-01,108093.83396615484,162.79,9.5,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-09-01,108093.83396615484,160.12,9.5,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-10-01,107726.74316543005,163.95,9.4,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-10-01,107726.74316543005,162.37,9.4,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-11-01,107293.23411653182,162.73,9.8,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-11-01,107293.23411653182,161.2,9.8,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-12-01,106806.22716220512,158.04,9.3,18659400.0,50846.57632662358,31.785646312314437
East North Central,2010-12-01,106806.22716220512,159.03,9.3,18659400.0,50846.57632662358,31.785646312314437
East North Central,2011-01-01,106313.32992094076,156.27,9.1,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-01-01,106313.32992094076,158.74,9.1,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-02-01,105827.55036905776,155.0,9.0,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-02-01,105827.55036905776,157.21,9.0,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-03-01,105388.94670250446,152.64,9.0,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-03-01,105388.94670250446,153.95,9.0,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-04-01,104795.88221128838,155.22,9.1,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-04-01,104795.88221128838,154.54,9.1,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-05-01,104466.2657052356,158.45,9.0,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-05-01,104466.2657052356,155.19,9.0,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-06-01,104233.58720354056,160.31,9.1,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-06-01,104233.58720354056,156.1,9.1,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-07-01,104129.27293672024,161.79,9.0,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-07-01,104129.27293672024,157.4,9.0,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-08-01,104009.8920039278,159.39,9.0,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-08-01,104009.8920039278,155.54,9.0,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-09-01,103863.67667214738,159.07,9.0,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-09-01,103863.67667214738,156.31,9.0,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-10-01,103683.8686471224,156.79,8.8,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-10-01,103683.8686471224,155.26,8.8,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-11-01,103455.40470408584,158.52,8.6,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-11-01,103455.40470408584,157.07,8.6,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-12-01,103250.8166753349,155.47,8.5,18701896.0,51021.80585171685,32.09343939245518
East North Central,2011-12-01,103250.8166753349,156.57,8.5,18701896.0,51021.80585171685,32.09343939245518
East North Central,2012-01-01,102661.21683892322,153.06,8.3,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-01-01,102661.21683892322,155.73,8.3,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-02-01,102844.80977351952,153.37,8.3,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-02-01,102844.80977351952,155.82,8.3,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-03-01,103003.82512518569,155.36,8.2,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-03-01,103003.82512518569,156.7,8.2,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-04-01,103108.72281984217,158.47,8.2,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-04-01,103108.72281984217,157.59,8.2,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-05-01,103414.29131889944,162.07,8.2,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-05-01,103414.29131889944,158.73,8.2,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-06-01,103725.90635006892,163.45,8.2,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-06-01,103725.90635006892,158.88,8.2,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-07-01,104071.91269900484,163.56,8.2,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-07-01,104071.91269900484,158.8,8.2,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-08-01,104376.93032987778,163.82,8.1,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-08-01,104376.93032987778,159.75,8.1,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-09-01,104887.13009839534,162.97,7.8,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-09-01,104887.13009839534,160.03,7.8,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-10-01,105244.27855686976,162.1,7.8,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-10-01,105244.27855686976,160.63,7.8,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-11-01,105382.72116516922,161.26,7.7,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-11-01,105382.72116516922,159.98,7.7,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-12-01,105481.56199204062,159.32,7.9,19256857.0,52573.97797719535,33.17036292059499
East North Central,2012-12-01,105481.56199204062,160.55,7.9,19256857.0,52573.97797719535,33.17036292059499
East North Central,2013-01-01,105550.79982761553,159.18,8.0,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-01-01,105550.79982761553,162.16,8.0,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-02-01,105706.51250441327,160.06,7.7,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-02-01,105706.51250441327,162.76,7.7,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-03-01,106018.90608930896,162.96,7.5,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-03-01,106018.90608930896,164.15,7.5,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-04-01,106378.55438667355,166.23,7.6,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-04-01,106378.55438667355,165.08,7.6,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-05-01,106875.00791703496,169.18,7.5,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-05-01,106875.00791703496,165.71,7.5,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-06-01,107324.65397183086,171.63,7.5,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-06-01,107324.65397183086,166.59,7.5,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-07-01,107660.96023269692,172.88,7.3,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-07-01,107660.96023269692,167.73,7.3,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-08-01,108278.42950139588,172.3,7.2,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-08-01,108278.42950139588,167.97,7.2,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-09-01,108839.21534450444,171.52,7.2,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-09-01,108839.21534450444,168.45,7.2,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-10-01,109391.18355231486,170.03,7.2,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-10-01,109391.18355231486,168.58,7.2,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-11-01,109545.27813518888,169.44,6.9,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-11-01,109545.27813518888,168.47,6.9,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-12-01,109615.04995420766,168.72,6.7,19317549.0,53852.38604995903,33.78217479349994
East North Central,2013-12-01,109615.04995420766,170.12,6.7,19317549.0,53852.38604995903,33.78217479349994
East North Central,2014-01-01,109558.3806501531,167.39,6.6,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-01-01,109558.3806501531,170.59,6.6,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-02-01,109785.12917814542,167.88,6.7,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-02-01,109785.12917814542,170.64,6.7,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-03-01,109972.20428885496,170.33,6.7,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-03-01,109972.20428885496,171.19,6.7,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-04-01,110317.5471722857,173.57,6.2,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-04-01,110317.5471722857,172.12,6.2,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-05-01,110770.98797701922,175.46,6.3,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-05-01,110770.98797701922,171.83,6.3,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-06-01,111377.98130930583,177.78,6.1,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-06-01,111377.98130930583,172.43,6.1,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-07-01,112036.28256105808,178.89,6.2,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-07-01,112036.28256105808,173.59,6.2,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-08-01,112571.84449051824,178.79,6.1,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-08-01,112571.84449051824,174.41,6.1,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-09-01,112879.38160378284,177.69,5.9,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-09-01,112879.38160378284,174.56,5.9,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-10-01,112821.00783470109,177.13,5.7,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-10-01,112821.00783470109,175.76,5.7,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-11-01,112762.0934065586,175.82,5.8,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-11-01,112762.0934065586,175.19,5.8,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-12-01,112850.18989465966,175.43,5.6,19368940.0,55256.47402263624,34.45386151746043
East North Central,2014-12-01,112850.18989465966,176.9,5.6,19368940.0,55256.47402263624,34.45386151746043
East North Central,2015-01-01,113056.52829949536,173.07,5.7,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-01-01,113056.52829949536,176.31,5.7,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-02-01,113194.15851182396,175.27,5.5,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-02-01,113194.15851182396,177.97,5.5,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-03-01,113431.37626867484,177.56,5.4,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-03-01,113431.37626867484,178.03,5.4,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-04-01,113864.05368427528,180.36,5.4,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-04-01,113864.05368427528,178.61,5.4,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-05-01,114503.1996138295,183.59,5.6,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-05-01,114503.1996138295,179.79,5.6,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-06-01,115094.56140802498,186.37,5.3,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-06-01,115094.56140802498,180.79,5.3,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-07-01,115628.43548464704,185.52,5.2,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-07-01,115628.43548464704,180.23,5.2,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-08-01,116169.56874797678,184.21,5.1,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-08-01,116169.56874797678,179.86,5.1,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-09-01,116686.51921973989,184.59,5.0,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-09-01,116686.51921973989,181.53,5.0,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-10-01,117229.64352369432,183.85,5.0,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-10-01,117229.64352369432,182.45,5.0,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-11-01,117576.1093741214,183.72,5.1,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-11-01,117576.1093741214,183.35,5.1,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-12-01,117969.48587865871,182.56,5.0,19406685.0,56584.38713608223,34.58382108536311
East North Central,2015-12-01,117969.48587865871,184.07,5.0,19406685.0,56584.38713608223,34.58382108536311
East North Central,2016-01-01,118408.32401532072,181.55,4.8,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-01-01,118408.32401532072,184.83,4.8,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-02-01,118721.77370694472,181.35,4.9,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-02-01,118721.77370694472,183.78,4.9,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-03-01,118946.9479503418,185.69,5.0,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-03-01,118946.9479503418,185.82,5.0,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-04-01,119143.01955104494,188.22,5.1,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-04-01,119143.01955104494,186.2,5.1,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-05-01,119370.96565137152,191.23,4.8,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-05-01,119370.96565137152,187.3,4.8,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-06-01,119818.46499947486,194.05,4.9,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-06-01,119818.46499947486,188.35,4.9,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-07-01,120019.26284857886,194.36,4.8,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-07-01,120019.26284857886,189.09,4.8,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-08-01,120202.09144250466,194.92,4.9,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-08-01,120202.09144250466,190.58,4.9,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-09-01,120368.32726085185,194.29,5.0,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-09-01,120368.32726085185,191.21,5.0,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-10-01,120790.15926460527,193.79,4.9,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-10-01,120790.15926460527,192.32,4.9,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-11-01,121251.91422563107,193.03,4.7,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-11-01,121251.91422563107,192.77,4.7,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-12-01,121779.86125934705,192.49,4.7,19378855.0,59412.38317919196,35.603142125786064
East North Central,2016-12-01,121779.86125934705,194.05,4.7,19378855.0,59412.38317919196,35.603142125786064
East North Central,2017-01-01,122241.58051746736,190.95,4.7,19462330.0,61325.86364720976,36.26593523488709
East North Central,2017-01-01,122241.58051746736,194.23,4.7,19462330.0,61325.86364720976,36.26593523488709
East North Central,2017-02-01,122602.12659773904,193.27,4.6,19462330.0,61325.86364720976,36.26593523488709
East North Central,2017-02-01,122602.12659773904,195.44,4.6,19462330.0,61325.86364720976,36.26593523488709
East North Central,2017-03-01,122926.189113932,197.18,4.4,19462330.0,61325.86364720976,36.26593523488709
East North Central,2017-03-01,122926.189113932,196.97,4.4,19462330.0,61325.86364720976,36.26593523488709
