division,date,zhvi,hpi,unemployment_rate,total_population,median_income,bachelors_pct,total_households,construction_permits,rental_vacancy_rate
East North Central,2010-01-01,109664.83576559636,163.485,9.8,18659400.0,50846.57632662358,31.785646312314434,17906231.0,59050.0,8.610851929653727
East North Central,2010-02-01,109446.8534388063,162.875,9.8,18659400.0,50846.57632662358,31.785646312314434,17906231.0,59050.0,8.610851929653727
East North Central,2010-03-01,109045.63997058732,163.46499999999997,9.9,18659400.0,50846.57632662358,31.785646312314434,17906231.0,59050.0,8.610851929653727
East North Central,2010-04-01,109178.30343439356,164.265,9.9,18659400.0,50846.57632662358,31.785646312314434,17906231.0,59050.0,8.610851929653727
East North Central,2010-05-01,108741.8000139584,165.95999999999998,9.6,18659400.0,50846.57632662358,31.785646312314434,17906231.0,59050.0,8.610851929653727
East North Central,2010-06-01,108770.93308863053,164.405,9.4,18659400.0,50846.57632662358,31.785646312314434,17906231.0,59050.0,8.610851929653727
East North Central,2010-07-01,108722.95308704129,163.45,9.4,18659400.0,50846.57632662358,31.785646312314434,17906231.0,59050.0,8.610851929653727
East North Central,2010-08-01,108551.02797785142,163.745,9.5,18659400.0,50846.57632662358,31.785646312314434,17906231.0,59050.0,8.610851929653727
East North Central,2010-09-01,108093.83396615484,161.45499999999998,9.5,18659400.0,50846.57632662358,31.785646312314434,17906231.0,59050.0,8.610851929653727
East North Central,2010-10-01,107726.74316543005,163.16,9.4,18659400.0,50846.57632662358,31.785646312314434,17906231.0,59050.0,8.610851929653727
East North Central,2010-11-01,107293.23411653182,161.96499999999997,9.8,18659400.0,50846.57632662358,31.785646312314434,17906231.0,59050.0,8.610851929653727
East North Central,2010-12-01,106806.22716220512,158.535,9.3,18659400.0,50846.57632662358,31.785646312314434,17906231.0,59050.0,8.610851929653727
East North Central,2011-01-01,106313.32992094076,157.505,9.1,18701896.0,51021.805851716854,32.09343939245518,17904799.0,57469.0,8.173156459707513
East North Central,2011-02-01,105827.55036905776,156.10500000000002,9.0,18701896.0,51021.805851716854,32.09343939245518,17904799.0,57469.0,8.173156459707513
East North Central,2011-03-01,105388.94670250446,153.295,9.0,18701896.0,51021.805851716854,32.09343939245518,17904799.0,57469.0,8.173156459707513
East North Central,2011-04-01,104795.88221128838,154.88,9.1,18701896.0,51021.805851716854,32.09343939245518,17904799.0,57469.0,8.173156459707513
East North Central,2011-05-01,104466.2657052356,156.82,9.0,18701896.0,51021.805851716854,32.09343939245518,17904799.0,57469.0,8.173156459707513
East North Central,2011-06-01,104233.58720354056,158.20499999999998,9.1,18701896.0,51021.805851716854,32.09343939245518,17904799.0,57469.0,8.173156459707513
East North Central,2011-07-01,104129.27293672024,159.595,9.0,18701896.0,51021.805851716854,32.09343939245518,17904799.0,57469.0,8.173156459707513
East North Central,2011-08-01,104009.8920039278,157.46499999999997,9.0,18701896.0,51021.805851716854,32.09343939245518,17904799.0,57469.0,8.173156459707513
East North Central,2011-09-01,103863.67667214738,157.69,9.0,18701896.0,51021.805851716854,32.09343939245518,17904799.0,57469.0,8.173156459707513
East North Central,2011-10-01,103683.8686471224,156.02499999999998,8.8,18701896.0,51021.805851716854,32.09343939245518,17904799.0,57469.0,8.173156459707513
East North Central,2011-11-01,103455.40470408584,157.79500000000002,8.6,18701896.0,51021.805851716854,32.09343939245518,17904799.0,57469.0,8.173156459707513
East North Central,2011-12-01,103250.8166753349,156.01999999999998,8.5,18701896.0,51021.805851716854,32.09343939245518,17904799.0,57469.0,8.173156459707513
East North Central,2012-01-01,102661.21683892322,154.39499999999998,8.3,19256857.0,52573.97797719535,33.17036292059499,17914100.0,68216.0,7.804239267256155
East North Central,2012-02-01,102844.80977351952,154.595,8.3,19256857.0,52573.97797719535,33.17036292059499,17914100.0,68216.0,7.804239267256155
East North Central,2012-03-01,103003.82512518569,156.03,8.2,19256857.0,52573.97797719535,33.17036292059499,17914100.0,68216.0,7.804239267256155
East North Central,2012-04-01,103108.72281984217,158.03,8.2,19256857.0,52573.97797719535,33.17036292059499,17914100.0,68216.0,7.804239267256155
East North Central,2012-05-01,103414.29131889944,160.39999999999998,8.2,19256857.0,52573.97797719535,33.17036292059499,17914100.0,68216.0,7.804239267256155
