division,date,year,zhvi,hpi,unemployment_rate,total_households,construction_permits,rental_vacancy_rate
East North Central,2006-01-01,2006,123068.56598607844,191.23000000000002,4.7,17758209.0,178813.0,9.805547731554771
East North Central,2006-02-01,2006,122709.9447695542,191.45,4.8,17758209.0,178813.0,9.805547731554771
East North Central,2006-03-01,2006,122841.17659976726,192.075,4.7,17758209.0,178813.0,9.805547731554771
East North Central,2006-04-01,2006,122961.56256583858,193.61,4.7,17758209.0,178813.0,9.805547731554771
East North Central,2006-05-01,2006,123057.76653872013,194.025,4.6,17758209.0,178813.0,9.805547731554771
East North Central,2006-06-01,2006,123100.2586906337,193.66,4.6,17758209.0,178813.0,9.805547731554771
East North Central,2006-07-01,2006,123028.27360163744,193.755,4.7,17758209.0,178813.0,9.805547731554771
East North Central,2006-08-01,2006,123269.7125552546,193.225,4.7,17758209.0,178813.0,9.805547731554771
East North Central,2006-09-01,2006,123265.02022566598,192.84,4.5,17758209.0,178813.0,9.805547731554771
East North Central,2006-10-01,2006,123303.50838347735,192.0,4.4,17758209.0,178813.0,9.805547731554771
East North Central,2006-11-01,2006,123325.74631956164,190.82,4.5,17758209.0,178813.0,9.805547731554771
East North Central,2006-12-01,2006,123326.86587873836,191.015,4.4,17758209.0,178813.0,9.805547731554771
East North Central,2007-01-01,2007,123306.10080631531,191.44,4.6,17818456.0,133560.0,8.887506515026507
East North Central,2007-02-01,2007,123317.4047931785,190.925,4.5,17818456.0,133560.0,8.887506515026507
East North Central,2007-03-01,2007,123300.56386995949,191.45,4.4,17818456.0,133560.0,8.887506515026507
East North Central,2007-04-01,2007,123290.93941796508,191.34,4.5,17818456.0,133560.0,8.887506515026507
East North Central,2007-05-01,2007,123118.61605103502,191.47500000000002,4.4,17818456.0,133560.0,8.887506515026507
East North Central,2007-06-01,2007,123010.48783330372,191.415,4.6,17818456.0,133560.0,8.887506515026507
East North Central,2007-07-01,2007,122765.21650455968,189.97,4.7,17818456.0,133560.0,8.887506515026507
East North Central,2007-08-01,2007,122426.22769171248,189.35,4.6,17818456.0,133560.0,8.887506515026507
East North Central,2007-09-01,2007,122199.966720268,187.38,4.7,17818456.0,133560.0,8.887506515026507
East North Central,2007-10-01,2007,122031.15279334712,185.66500000000002,4.7,17818456.0,133560.0,8.887506515026507
East North Central,2007-11-01,2007,121903.2556730936,184.315,4.7,17818456.0,133560.0,8.887506515026507
East North Central,2007-12-01,2007,121691.49139031366,182.52999999999997,5.0,17818456.0,133560.0,8.887506515026507
East North Central,2008-01-01,2008,121481.7504931681,180.8,5.0,17816124.0,83245.0,8.442905863517872
East North Central,2008-02-01,2008,120731.28774394625,180.765,4.9,17816124.0,83245.0,8.442905863517872
East North Central,2008-03-01,2008,121001.18690075616,180.10000000000002,5.1,17816124.0,83245.0,8.442905863517872
East North Central,2008-04-01,2008,120947.84990907335,179.015,5.0,17816124.0,83245.0,8.442905863517872
