year,division,rental_vacancy_rate
2010,East North Central,8.610851929653727
2010,East South Central,9.500623131699808
2010,Middle Atlantic,5.865259397928724
2010,Mountain,8.45914839624706
2010,New England,6.280461826627235
2010,Pacific,5.237877487161773
2010,South Atlantic,10.06223628660071
2010,West North Central,7.1193690714288005
2010,West South Central,9.64717569936506
2011,East North Central,8.173156459707513
2011,East South Central,9.478610281467157
2011,Middle Atlantic,5.709410537438747
2011,Mountain,8.511487717845542
2011,New England,6.264912051139549
2011,Pacific,5.282618713117222
2011,South Atlantic,10.251630980488954
2011,West North Central,6.965157140958352
2011,West South Central,9.555383327425373
2012,East North Central,7.804239267256155
2012,East South Central,9.09223400801349
2012,Middle Atlantic,5.624101994673183
2012,Mountain,8.444013441734965
2012,New England,6.0215189628534285
2012,Pacific,5.210659455006941
2012,South Atlantic,9.94154763974672
2012,West North Central,6.631725671391436
2012,West South Central,9.314713331989612
2013,East North Central,7.378203531829757
2013,East South Central,8.866164940196231
2013,Middle Atlantic,5.471110041246249
2013,Mountain,8.136375565828885
2013,New England,5.932260090524529
2013,Pacific,5.104475963429113
2013,South Atlantic,9.52642493455299
2013,West North Central,6.355425580710526
2013,West South Central,9.01033847898217
2014,East North Central,6.877770382723219
2014,East South Central,8.41008024561969
2014,Middle Atlantic,5.349322150459089
2014,Mountain,7.567678597919248
2014,New England,5.620229460502458
2014,Pacific,4.791960525610039
2014,South Atlantic,8.858917976401479
2014,West North Central,6.197695557449455
2014,West South Central,8.49963689094249
2015,East North Central,6.3800470598707495
2015,East South Central,8.039970548028673
2015,Middle Atlantic,5.187050856640431
2015,Mountain,7.200646663679115
2015,New England,5.258056268719422
2015,Pacific,4.349467100587103
2015,South Atlantic,8.15874185264334
2015,West North Central,5.996860155070959
2015,West South Central,8.002826344977349
2016,East North Central,6.064108671142334
2016,East South Central,7.813473891978108
2016,Middle Atlantic,5.071971127538366
2016,Mountain,6.907618201359145
2016,New England,5.077923804160963
2016,Pacific,4.035311216604396
2016,South Atlantic,7.6981787433134565
2016,West North Central,5.862151456798094
2016,West South Central,7.83432084504417
2017,East North Central,5.96720855860524
2017,East South Central,7.943612492040117
2017,Middle Atlantic,5.063219445898827
2017,Mountain,6.716348438750872
2017,New England,5.077693720933863
2017,Pacific,3.844587421884628
2017,South Atlantic,7.58041100507035
2017,West North Central,6.004474325186349
2017,West South Central,7.839816421580547
2018,East North Central,5.863625676691917
2018,East South Central,7.980532268242442
2018,Middle Atlantic,4.969201934386412
2018,Mountain,6.545173307190955
2018,New England,4.891747545236837
2018,Pacific,3.7635663140308058
2018,South Atlantic,7.429675338166401
2018,West North Central,6.165240186881616
2018,West South Central,7.929929253535877
2019,East North Central,5.6868399845090805
2019,East South Central,8.006765311452341
2019,Middle Atlantic,4.710527073355395
2019,Mountain,6.380966108920074
2019,New England,4.699742309623918
2019,Pacific,3.824260327718676
2019,South Atlantic,7.2992182751416905
2019,West North Central,6.075924920261956
2019,West South Central,7.9539000750177475
2020,East North Central,5.4536219409410815
2020,East South Central,7.679543528322919
2020,Middle Atlantic,4.43694726498341
2020,Mountain,5.959684208134741
2020,New England,4.351629378602696
2020,Pacific,3.889639012067738
2020,South Atlantic,7.122972975434544
2020,West North Central,5.925753031989902
2020,West South Central,7.89995540332034
2021,East North Central,5.320273145354443
2021,East South Central,7.525434413227006
2021,Middle Atlantic,4.372593561128777
2021,Mountain,5.684879266755821
2021,New England,4.187802791137254
2021,Pacific,4.059003172977445
2021,South Atlantic,6.933752229423774
2021,West North Central,5.872036379867944
2021,West South Central,7.660885192333034
2022,East North Central,5.0732563373006965
2022,East South Central,7.058120559541068
2022,Middle Atlantic,4.219578110160125
2022,Mountain,5.545808135200459
2022,New England,3.941886903457523
2022,Pacific,4.138857966873165
2022,South Atlantic,6.7821695532419
2022,West North Central,5.702106217492465
2022,West South Central,7.410626511779894
2023,East North Central,4.94938111983381
2023,East South Central,6.598333639820311
2023,Middle Atlantic,4.109613053653761
2023,Mountain,5.478578972661614
2023,New England,3.8983380051863032
2023,Pacific,4.257817710338871
2023,South Atlantic,6.772245699089155
2023,West North Central,5.514419106051748
2023,West South Central,7.3145023469820805
2024,East North Central,4.890352052487362
2024,East South Central,6.365982251320354
2024,Middle Atlantic,4.088713492298623
2024,Mountain,5.572574701068537
2024,New England,3.831683944950754
2024,Pacific,4.380096392622449
2024,South Atlantic,6.790211876686407
2024,West North Central,5.448310812473848
2024,West South Central,7.485586800003699
