year,division,total_households
2010,East North Central,17906231.0
2010,East South Central,7022445.0
2010,Middle Atlantic,15322390.0
2010,Mountain,8029617.0
2010,New England,5603616.0
2010,Pacific,17160009.0
2010,South Atlantic,22415079.0
2010,West North Central,8057379.0
2010,West South Central,12719230.0
2011,East North Central,17904799.0
2011,East South Central,7055413.0
2011,Middle Atlantic,15349107.0
2011,Mountain,8104129.0
2011,New England,5616180.0
2011,Pacific,17243727.0
2011,South Atlantic,22506156.0
2011,West North Central,8084823.0
2011,West South Central,12897025.0
2012,East North Central,17914100.0
2012,East South Central,7085924.0
2012,Middle Atlantic,15377407.0
2012,Mountain,8162159.0
2012,New England,5623400.0
2012,Pacific,17299488.0
2012,South Atlantic,22599933.0
2012,West North Central,8117205.0
2012,West South Central,13047186.0
2013,East North Central,17923783.0
2013,East South Central,7096947.0
2013,Middle Atlantic,15379588.0
2013,Mountain,8203772.0
2013,New England,5625126.0
2013,Pacific,17389712.0
2013,South Atlantic,22682618.0
2013,West North Central,8140543.0
2013,West South Central,13168127.0
2014,East North Central,17961961.0
2014,East South Central,7124385.0
2014,Middle Atlantic,15401762.0
2014,Mountain,8270966.0
2014,New England,5634178.0
2014,Pacific,17487641.0
2014,South Atlantic,22842940.0
2014,West North Central,8172196.0
2014,West South Central,13315063.0
2015,East North Central,18013664.0
2015,East South Central,7157973.0
2015,Middle Atlantic,15410624.0
2015,Mountain,8348863.0
2015,New England,5643608.0
2015,Pacific,17621684.0
2015,South Atlantic,23053005.0
2015,West North Central,8206423.0
2015,West South Central,13470461.0
2016,East North Central,18088041.0
2016,East South Central,7190285.0
2016,Middle Atlantic,15423130.0
2016,Mountain,8447899.0
2016,New England,5653431.0
2016,Pacific,17752003.0
2016,South Atlantic,23291065.0
2016,West North Central,8246451.0
2016,West South Central,13623932.0
2017,East North Central,18206186.0
2017,East South Central,7231917.0
2017,Middle Atlantic,15509263.0
2017,Mountain,8585227.0
2017,New England,5698804.0
2017,Pacific,17923494.0
2017,South Atlantic,23574381.0
2017,West North Central,8312323.0
2017,West South Central,13784326.0
2018,East North Central,18290569.0
2018,East South Central,7261587.0
2018,Middle Atlantic,15555031.0
2018,Mountain,8719088.0
2018,New England,5724795.0
2018,Pacific,18067937.0
2018,South Atlantic,23839252.0
2018,West North Central,8356007.0
2018,West South Central,13915862.0
2019,East North Central,18386108.0
2019,East South Central,7304197.0
2019,Middle Atlantic,15628214.0
2019,Mountain,8864406.0
2019,New England,5750719.0
2019,Pacific,18217414.0
2019,South Atlantic,24118995.0
2019,West North Central,8416719.0
2019,West South Central,14069276.0
2020,East North Central,18562400.0
2020,East South Central,7392661.0
2020,Middle Atlantic,15795879.0
2020,Mountain,9025521.0
2020,New England,5818666.0
2020,Pacific,18374620.0
2020,South Atlantic,24562793.0
2020,West North Central,8499540.0
2020,West South Central,14322139.0
2021,East North Central,18685564.0
2021,East South Central,7424919.0
2021,Middle Atlantic,16075089.0
2021,Mountain,9208923.0
2021,New England,5912617.0
2021,Pacific,18546492.0
2021,South Atlantic,24999273.0
2021,West North Central,8507758.0
2021,West South Central,14650357.0
2022,East North Central,18846506.0
2022,East South Central,7537156.0
2022,Middle Atlantic,16236412.0
2022,Mountain,9409918.0
2022,New England,5974167.0
2022,Pacific,18724176.0
2022,South Atlantic,25456973.0
2022,West North Central,8600823.0
2022,West South Central,14950222.0
2023,East North Central,18999208.0
2023,East South Central,7661599.0
2023,Middle Atlantic,16382650.0
2023,Mountain,9610356.0
2023,New England,6028879.0
2023,Pacific,18913809.0
2023,South Atlantic,25921221.0
2023,West North Central,8702795.0
2023,West South Central,15262348.0
2024,East North Central,19171498.0
2024,East South Central,7781424.0
2024,Middle Atlantic,16505200.0
2024,Mountain,9810310.0
2024,New England,6087016.0
2024,Pacific,19094319.0
2024,South Atlantic,26411354.0
2024,West North Central,8800403.0
2024,West South Central,15565972.0
