feature,value
total_households,-100018.16675446164
median_income,56031.1708233656
total_population,50490.91308081444
division_New England,-37372.084468685935
hpi,36337.26445254473
division_West South Central,-33592.425962534566
division_West North Central,-32930.849179411045
division_Middle Atlantic,-32884.0211343245
division_Mountain,-31656.717978228266
time_index,-26776.677438167906
division_East South Central,-25519.54019600678
division_South Atlantic,20581.690718407826
bachelors_pct,-18333.374765555025
division_Pacific,-10399.360493469461
rental_vacancy_rate,-2814.8625140588524
month_12,1969.668060963566
month_11,1674.2726288837841
month_10,1428.2788547166529
month_9,1167.684908010558
unemployment_rate,1040.3413350309183
month_8,878.3696303884062
month_7,618.1809524541922
month_6,411.2575488399689
month_5,282.62246681277367
month_3,226.5856472035358
month_4,183.8971818641766
month_2,172.48573553891234
construction_permits,-119.7756805830293
