feature,value
zhvi_lag1,69234.775916171
hpi,2610.7194044552098
total_households,-2349.897940672152
median_income,2070.7592448264168
division_West South Central,-1306.4856648519842
division_West North Central,-1082.002348596822
division_Mountain,-1054.5095171213472
time_index,-984.8357663727598
division_Middle Atlantic,-888.1506461327971
division_East South Central,-854.0423840869473
bachelors_pct,-843.5570657054909
total_population,734.6450531770469
division_New England,-616.6039384159659
division_Pacific,510.76081117028065
division_South Atlantic,430.71629097215515
month_12,52.68824916425671
month_11,36.30758784856392
construction_permits,-35.87238362172765
month_5,31.117262056872985
month_4,27.662613488802915
month_3,24.92247460051405
month_6,22.556384153105853
unemployment_rate,22.499789627964557
rental_vacancy_rate,19.963916810342276
month_7,10.733539464321353
month_10,10.629679950142922
month_9,7.954576819080531
month_2,-6.92365636214621
month_8,0.03173248901056517
