feature,coefficient
zhvi_lag1,72895.77732185565
total_households,-9844.012616032967
division_New England,-6816.570490056737
division_East South Central,-6004.486544644919
division_Mountain,-5923.650467906813
division_West North Central,-5539.483116366095
division_West South Central,-3214.747486409141
division_South Atlantic,1656.9039729171377
division_Middle Atlantic,-1525.4038632570678
construction_permits,1151.2680004584138
hpi,852.2191305984278
division_Pacific,-737.447580001677
rental_vacancy_rate,261.1016296611888
median_income,-232.34024172213714
bachelors_pct,219.2970763368193
time_index,159.19962420278327
unemployment_rate,113.69743730773553
total_population,91.34274435247265
month_10,-40.02683030217107
month_9,-32.75077520290789
month_8,-29.80138407335351
month_3,26.18739631291951
month_11,-23.525726006986645
month_5,20.8321464190753
month_12,-18.95903167714258
month_4,17.190016713784974
month_6,9.951132829348124
month_7,-9.505836104216135
month_2,-5.200854995105075
